#F CompoundsNIST.dat
#C  This file has been created by CompoundsNIST.py using xraylib
#C  This file belongs to the DABAX library. 
#C  DABAX files are at: http://ftp.esrf.eu/pub/scisoft/DabaxFiles/
#UT NIST Compounds and Mixtures (formula, density and composition)
#UD NIST Compounds and Mixtures (formula, density and composition)
#UD 
#UD This file contains composition and densities of a list of usual 
#UD materials. Data comes from:
#UD 3) NIST (from A-150 TISSUE-EQUIVALENT PLASTIC to WATER, LIQUID) Ref:
#UD    https://physics.nist.gov/PhysRefData/XrayMassCoef/tab4.html
#UD 
#UD Data follows the same convention as in xraylib (https://github.com/tschoonj/xraylib/)
#UD Data is arranged in a number of lines equal to the number of 
#UD elements in the mixtute sorted by Z. 
#UD The column description is: 
#UD  1: Elements (the Z value)
#UD  2: massFractions (the weight fractions)
#UD  
#UD The additional keywords are defined (as in the xraylib compound dictionary): 
#UD    #Uname
#UD    #UnElements
#UD    #Udensity
#UD 


#S 0 A-150 Tissue-Equivalent Plastic
#Uname A-150 Tissue-Equivalent Plastic
#UnElements 6
#Udensity 1.127
#N 2
#L Elements  massFractions
1 0.101327
6 0.775501
7 0.035057
8 0.052316
9 0.017422
20 0.018378

#S 1 Acetone
#Uname Acetone
#UnElements 3
#Udensity 0.7899
#N 2
#L Elements  massFractions
1 0.104122
6 0.620405
8 0.275473

#S 2 Acetylene
#Uname Acetylene
#UnElements 2
#Udensity 0.001097
#N 2
#L Elements  massFractions
1 0.077418
6 0.922582

#S 3 Adenine
#Uname Adenine
#UnElements 3
#Udensity 1.35
#N 2
#L Elements  massFractions
1 0.037294
6 0.44443
7 0.518275

#S 4 Adipose Tissue (ICRP)
#Uname Adipose Tissue (ICRP)
#UnElements 13
#Udensity 0.92
#N 2
#L Elements  massFractions
1 0.119477
6 0.63724
7 0.00797
8 0.232333
11 0.0005
12 2e-05
15 0.00016
16 0.00073
17 0.00119
19 0.00032
20 2e-05
26 2e-05
30 2e-05

#S 5 Air, Dry (near sea level)
#Uname Air, Dry (near sea level)
#UnElements 4
#Udensity 0.001205
#N 2
#L Elements  massFractions
6 0.000124
7 0.755267
8 0.231781
18 0.012827

#S 6 Alanine
#Uname Alanine
#UnElements 4
#Udensity 1.42
#N 2
#L Elements  massFractions
1 0.07919
6 0.404439
7 0.157213
8 0.359159

#S 7 Aluminum Oxide
#Uname Aluminum Oxide
#UnElements 2
#Udensity 3.97
#N 2
#L Elements  massFractions
8 0.470749
13 0.529251

#S 8 Amber
#Uname Amber
#UnElements 3
#Udensity 1.1
#N 2
#L Elements  massFractions
1 0.10593
6 0.788973
8 0.105096

#S 9 Ammonia
#Uname Ammonia
#UnElements 2
#Udensity 0.000826
#N 2
#L Elements  massFractions
1 0.177547
7 0.822453

#S 10 Aniline
#Uname Aniline
#UnElements 3
#Udensity 1.0235
#N 2
#L Elements  massFractions
1 0.075759
6 0.773838
7 0.150403

#S 11 Anthracene
#Uname Anthracene
#UnElements 2
#Udensity 1.283
#N 2
#L Elements  massFractions
1 0.05655
6 0.94345

#S 12 B-100 Bone-Equivalent Plastic
#Uname B-100 Bone-Equivalent Plastic
#UnElements 6
#Udensity 1.45
#N 2
#L Elements  massFractions
1 0.065471
6 0.536945
7 0.0215
8 0.032085
9 0.167411
20 0.176589

#S 13 Bakelite
#Uname Bakelite
#UnElements 3
#Udensity 1.25
#N 2
#L Elements  massFractions
1 0.057441
6 0.774591
8 0.167968

#S 14 Barium Fluoride
#Uname Barium Fluoride
#UnElements 2
#Udensity 4.89
#N 2
#L Elements  massFractions
9 0.21672
56 0.78328

#S 15 Barium Sulfate
#Uname Barium Sulfate
#UnElements 3
#Udensity 4.5
#N 2
#L Elements  massFractions
8 0.274212
16 0.137368
56 0.58842

#S 16 Benzene
#Uname Benzene
#UnElements 2
#Udensity 0.87865
#N 2
#L Elements  massFractions
1 0.077418
6 0.922582

#S 17 Beryllium oxide
#Uname Beryllium oxide
#UnElements 2
#Udensity 3.01
#N 2
#L Elements  massFractions
4 0.36032
8 0.63968

#S 18 Bismuth Germanium oxide
#Uname Bismuth Germanium oxide
#UnElements 3
#Udensity 7.13
#N 2
#L Elements  massFractions
8 0.154126
32 0.17482
83 0.671054

#S 19 Blood (ICRP)
#Uname Blood (ICRP)
#UnElements 14
#Udensity 1.06
#N 2
#L Elements  massFractions
1 0.101866
6 0.10002
7 0.02964
8 0.759414
11 0.00185
12 4e-05
14 3e-05
15 0.00035
16 0.00185
17 0.00278
19 0.00163
20 6e-05
26 0.00046
30 1e-05

#S 20 Bone, Compact (ICRU)
#Uname Bone, Compact (ICRU)
#UnElements 8
#Udensity 1.85
#N 2
#L Elements  massFractions
1 0.063984
6 0.278
7 0.027
8 0.410016
12 0.002
15 0.07
16 0.002
20 0.147

#S 21 Bone, Cortical (ICRP)
#Uname Bone, Cortical (ICRP)
#UnElements 9
#Udensity 1.85
#N 2
#L Elements  massFractions
1 0.047234
6 0.14433
7 0.04199
8 0.446096
12 0.0022
15 0.10497
16 0.00315
20 0.20993
30 0.0001

#S 22 Boron Carbide
#Uname Boron Carbide
#UnElements 2
#Udensity 2.52
#N 2
#L Elements  massFractions
5 0.78261
6 0.21739

#S 23 Boron Oxide
#Uname Boron Oxide
#UnElements 2
#Udensity 1.812
#N 2
#L Elements  massFractions
5 0.310551
8 0.689449

#S 24 Brain (ICRP)
#Uname Brain (ICRP)
#UnElements 13
#Udensity 1.03
#N 2
#L Elements  massFractions
1 0.110667
6 0.12542
7 0.01328
8 0.737723
11 0.00184
12 0.00015
15 0.00354
16 0.00177
17 0.00236
19 0.0031
20 9e-05
26 5e-05
30 1e-05

#S 25 Butane
#Uname Butane
#UnElements 2
#Udensity 0.002493
#N 2
#L Elements  massFractions
1 0.173408
6 0.826592

#S 26 N-Butyl Alcohol
#Uname N-Butyl Alcohol
#UnElements 3
#Udensity 0.8098
#N 2
#L Elements  massFractions
1 0.135978
6 0.648171
8 0.215851

#S 27 C-552 Air-Equivalent Plastic
#Uname C-552 Air-Equivalent Plastic
#UnElements 5
#Udensity 1.76
#N 2
#L Elements  massFractions
1 0.02468
6 0.50161
8 0.004527
9 0.465209
14 0.003973

#S 28 Cadmium Telluride
#Uname Cadmium Telluride
#UnElements 2
#Udensity 6.2
#N 2
#L Elements  massFractions
48 0.468355
52 0.531645

#S 29 Cadmium Tungstate
#Uname Cadmium Tungstate
#UnElements 3
#Udensity 7.9
#N 2
#L Elements  massFractions
8 0.177644
48 0.312027
74 0.510329

#S 30 Calcium Carbonate
#Uname Calcium Carbonate
#UnElements 3
#Udensity 2.8
#N 2
#L Elements  massFractions
6 0.120003
8 0.479554
20 0.400443

#S 31 Calcium Fluoride
#Uname Calcium Fluoride
#UnElements 2
#Udensity 3.18
#N 2
#L Elements  massFractions
9 0.486659
20 0.513341

#S 32 Calcium Oxide
#Uname Calcium Oxide
#UnElements 2
#Udensity 3.3
#N 2
#L Elements  massFractions
8 0.285299
20 0.714701

#S 33 Calcium Sulfate
#Uname Calcium Sulfate
#UnElements 3
#Udensity 2.96
#N 2
#L Elements  massFractions
8 0.470095
16 0.235497
20 0.294408

#S 34 Calcium Tungstate
#Uname Calcium Tungstate
#UnElements 3
#Udensity 6.062
#N 2
#L Elements  massFractions
8 0.22227
20 0.139202
74 0.638529

#S 35 Carbon Dioxide
#Uname Carbon Dioxide
#UnElements 2
#Udensity 0.001842
#N 2
#L Elements  massFractions
6 0.272916
8 0.727084

#S 36 Carbon Tetrachloride
#Uname Carbon Tetrachloride
#UnElements 2
#Udensity 1.594
#N 2
#L Elements  massFractions
6 0.078083
17 0.921917

#S 37 Cellulose Acetate, Cellophane
#Uname Cellulose Acetate, Cellophane
#UnElements 3
#Udensity 1.42
#N 2
#L Elements  massFractions
1 0.062162
6 0.444462
8 0.493376

#S 38 Cellulose Acetate Butyrate
#Uname Cellulose Acetate Butyrate
#UnElements 3
#Udensity 1.2
#N 2
#L Elements  massFractions
1 0.067125
6 0.545403
8 0.387472

#S 39 Cellulose Nitrate
#Uname Cellulose Nitrate
#UnElements 4
#Udensity 1.49
#N 2
#L Elements  massFractions
1 0.029216
6 0.271296
7 0.121276
8 0.578212

#S 40 Ceric Sulfate Dosimeter Solution
#Uname Ceric Sulfate Dosimeter Solution
#UnElements 5
#Udensity 1.03
#N 2
#L Elements  massFractions
1 0.107596
7 0.0008
8 0.874976
16 0.014627
58 0.002001

#S 41 Cesium Fluoride
#Uname Cesium Fluoride
#UnElements 2
#Udensity 4.115
#N 2
#L Elements  massFractions
9 0.125069
55 0.874931

#S 42 Cesium Iodide
#Uname Cesium Iodide
#UnElements 2
#Udensity 4.51
#N 2
#L Elements  massFractions
53 0.488451
55 0.511549

#S 43 Chlorobenzene
#Uname Chlorobenzene
#UnElements 3
#Udensity 1.1058
#N 2
#L Elements  massFractions
1 0.044772
6 0.640254
17 0.314974

#S 44 Chloroform
#Uname Chloroform
#UnElements 3
#Udensity 1.4832
#N 2
#L Elements  massFractions
1 0.008443
6 0.100613
17 0.890944

#S 45 Concrete, Portland
#Uname Concrete, Portland
#UnElements 10
#Udensity 2.3
#N 2
#L Elements  massFractions
1 0.01
6 0.001
8 0.529107
11 0.016
12 0.002
13 0.033872
14 0.337021
19 0.013
20 0.044
26 0.014

#S 46 Cyclohexane
#Uname Cyclohexane
#UnElements 2
#Udensity 0.779
#N 2
#L Elements  massFractions
1 0.143711
6 0.856289

#S 47 1,2-Ddihlorobenzene
#Uname 1,2-Ddihlorobenzene
#UnElements 3
#Udensity 1.3048
#N 2
#L Elements  massFractions
1 0.027425
6 0.490233
