#F CrossSec_Compton_IntegrHubbell.dat
#C  This file has been created using CrossSec_Compton.pro on Mon Feb  3 12:03:51 2003
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax
#D Mon Feb  3 12:03:51 2003
#UIDL xcrosssec
#UT Compton Cross Sections (Integrated from inelastic scattering functions)
#UD Compton Cross Sections (Integrated from inelastic scattering functions)
#UD
#UD
#UD
#UD Data in this file has been calculated by doing: 
#UD    i) using the Klein-Nishina formula of cross section versus theta
#UD        in a grid of 360 pts in [0,pi]rad (using code kn_angle.pro)
#UD        See for example the formula 16 in Davisson & Evans, 
#UD        Rev Mod Phys, 24 (1952) 79-109
#UD    ii) use the inelastic scattering function from Hubbell (in DABAX: isf_Hubbell.dat)
#UD        versus x, where x=sin(theta)/lambda, lambda is the incident photon wavelength.
#UD    iii) Multiply i) times ii) times 2*pi*sin(theta) and integrate numerically
#UD       using int_tabulated.pro
#UD
#UD
#UD 
#UD The Compton cross sections is calculated in the energy range 
#UD 10 eV to 10 MeV in a 500 points logarithmic grid for the elements 
#UD Z = 1 - 90.
#UD
#UD
#UD Column description 
#UD 1: PhotonEnergy[kev]
#UD 2: Compton(incoherent)[barn/atom] 
#UD
#S   1 H 
#N 2
#L PhotonEnergy[keV]  Compton(incoherent)[barn/atom] 
     0.010000000   1.5657323e-05
     0.010280732   1.6096852e-05
     0.010569346   1.6548719e-05
     0.010866061   1.7013271e-05
     0.011171107   1.7490862e-05
     0.011484715   1.7981859e-05
     0.011807128   1.8486639e-05
     0.012138593   1.9005588e-05
     0.012479362   1.9548334e-05
     0.012829698   2.0331349e-05
     0.013189869   2.1417453e-05
     0.013560151   2.2774935e-05
     0.013940828   2.4378916e-05
     0.014332192   2.6209499e-05
     0.014734543   2.8251692e-05
     0.015148189   3.0493492e-05
     0.015573448   3.2926577e-05
     0.016010645   3.5544317e-05
     0.016460115   3.8342239e-05
     0.016922204   4.1317860e-05
     0.017397264   4.4469720e-05
     0.017885662   4.7796618e-05
     0.018387770   5.1299713e-05
     0.018903974   5.4979638e-05
     0.019434669   5.8837765e-05
     0.019980263   6.2876125e-05
     0.020541173   6.7097646e-05
     0.021117830   7.1504611e-05
     0.021710676   7.6099516e-05
     0.022320165   8.0886654e-05
     0.022946764   8.5868425e-05
     0.023590953   9.1048578e-05
     0.024253227   9.6430769e-05
     0.024934094   0.00010201854
     0.025634074   0.00010781728
     0.026353705   0.00011382952
     0.027093539   0.00012006050
     0.027854142   0.00012651425
     0.028636097   0.00013319535
     0.029440005   0.00014010821
     0.030266481   0.00014725860
     0.031116158   0.00015465100
     0.031989689   0.00016228947
     0.032887743   0.00017018268
     0.033811008   0.00017833330
     0.034760192   0.00018674755
     0.035736022   0.00019543137
     0.036739248   0.00020439302
     0.037770637   0.00021363667
     0.038830980   0.00022316944
     0.039921091   0.00023299782
     0.041041805   0.00024312971
     0.042193981   0.00025357162
     0.043378502   0.00026433191
     0.044596276   0.00027541748
     0.045848238   0.00028683687
     0.047135345   0.00029859776
     0.048458586   0.00031070980
     0.049818975   0.00032318262
     0.051217554   0.00033602286
     0.052655396   0.00034924184
     0.054133603   0.00036284737
     0.055653308   0.00037685223
     0.057215676   0.00039126545
     0.058821904   0.00040609706
     0.060473224   0.00042135819
     0.062170903   0.00043707876
     0.063916241   0.00045497509
     0.065710575   0.00047595890
     0.067555283   0.00049974781
     0.069451778   0.00052611365
     0.071401513   0.00055489290
     0.073405984   0.00058594410
     0.075466726   0.00061917486
     0.077585321   0.00065450904
     0.079763391   0.00069190066
     0.082002606   0.00073131528
     0.084304684   0.00077274309
     0.086671388   0.00081617298
     0.089104533   0.00086161595
     0.091605985   0.00090908283
     0.094177660   0.00095859851
     0.096821531    0.0010101829
     0.099539623    0.0010638722
      0.10233402    0.0011196951
      0.10520687    0.0011776887
      0.10816036    0.0012379046
      0.11119677    0.0013003699
      0.11431843    0.0013651355
      0.11752771    0.0014322535
      0.12082709    0.0015017692
      0.12421910    0.0015737482
      0.12770633    0.0016518090
      0.13129146    0.0017382042
      0.13497723    0.0018323228
      0.13876648    0.0019337304
      0.14266210    0.0020420428
      0.14666709    0.0021570129
      0.15078450    0.0022784505
      0.15501751    0.0024062351
      0.15936935    0.0025402883
      0.16384336    0.0026805767
      0.16844298    0.0028271052
      0.17317171    0.0029799015
      0.17803320    0.0031390061
      0.18303117    0.0033045005
      0.18816944    0.0034773429
      0.19345197    0.0036643194
      0.19888279    0.0038661142
      0.20446607    0.0040819476
      0.21020609    0.0043112505
      0.21610725    0.0045536105
      0.22217408    0.0048087274
      0.22841122    0.0050764242
      0.23482346    0.0053566080
      0.24141571    0.0056492746
      0.24819303    0.0059544552
      0.25516061    0.0062786124
      0.26232379    0.0066265258
      0.26968806    0.0069970719
      0.27725908    0.0073894866
      0.28504263    0.0078031575
      0.29304470    0.0082377036
      0.30127141    0.0086928929
      0.30972907    0.0091686745
      0.31842416    0.0096718801
      0.32736335     0.010209132
      0.33655350     0.010779079
      0.34600164     0.011380693
      0.35571502     0.012013346
      0.36570109     0.012676567
      0.37596750     0.013371824
      0.38652212     0.014113652
      0.39737304     0.014903919
      0.40852858     0.015740799
      0.41999729     0.016623101
      0.43178797     0.017549915
      0.44390965     0.018520784
      0.45637163     0.019535467
      0.46918345     0.020595075
      0.48235494     0.021713504
      0.49589620     0.022893387
      0.50981761     0.024142780
      0.52412983     0.025468735
      0.53884384     0.026868800
      0.55397093     0.028341298
      0.56952268     0.029884957
      0.58551102     0.031499336
      0.60194820     0.033190831
      0.61884682     0.034972528
      0.63621985     0.036852619
      0.65408059     0.038840541
      0.67244274     0.040933408
      0.69132038     0.043129216
      0.71072797     0.045426734
      0.73068040     0.047825670
      0.75119295     0.050345452
      0.77228136     0.052996302
      0.79396178     0.055775685
      0.81625085     0.058682018
      0.83916564     0.061721188
      0.86272373     0.064906334
      0.88694317     0.068242158
      0.91184252     0.071739487
      0.93744088     0.075396713
      0.96375787     0.079212574
      0.99081366     0.083188963
       1.0186290     0.087340906
       1.0472252     0.091672953
       1.0766242     0.096185257
       1.1068485      0.10088441
       1.1379213      0.10577494
       1.1698664      0.11086144
       1.2027083      0.11614462
       1.2364722      0.12162751
       1.2711840      0.12731386
       1.3068702      0.13320479
       1.3435583      0.13930184
       1.3812763      0.14560294
       1.4200532      0.15211238
       1.4599187      0.15883043
       1.5009033      0.16574948
       1.5430385      0.17287519
       1.5863565      0.18020115
       1.6308907      0.18771423
       1.6766750      0.19542381
       1.7237447      0.20332406
       1.7721358      0.21139566
       1.8218853      0.21964794
       1.8730315      0.22806496
       1.9256136      0.23661857
       1.9796718      0.24531370
       2.0352475      0.25414904
       2.0923835      0.26309371
       2.1511234      0.27215399
       2.2115124      0.28129647
       2.2735967      0.29049366
       2.3374239      0.29976702
       2.4030429      0.30907161
       2.4705041      0.31840356
       2.5398591      0.32775033
       2.6111611      0.33707579
       2.6844648      0.34638988
       2.7598264      0.35565784
       2.8373036      0.36487043
       2.9169559      0.37400597
       2.9988442      0.38304710
       3.0830315      0.39198053
       3.1695821      0.40078517
       3.2585625      0.40945030
       3.3500408      0.41796916
       3.4440873      0.42632827
       3.5407739      0.43450992
       3.6401748      0.44251072
       3.7423663      0.45032478
       3.8474266      0.45792687
       3.9554362      0.46533179
       4.0664781      0.47253281
       4.1806372      0.47951782
       4.2980012      0.48627907
       4.4186600      0.49282888
       4.5427060      0.49915839
       4.6702344      0.50526408
       4.8013429      0.51114616
       4.9361321      0.51681798
       5.0747052      0.52227064
       5.2171686      0.52750605
       5.3636313      0.53253628
       5.5142057      0.53735821
       5.6690073      0.54197854
       5.8281546      0.54639995
       5.9917697      0.55062759
       6.1599780      0.55466430
       6.3329084      0.55851853
       6.5106936      0.56219200
       6.6934697      0.56568863
       6.8813770      0.56901341
       7.0745594      0.57217437
       7.2731651      0.57517262
       7.4773463      0.57801512
       7.6872595      0.58070425
       7.9030657      0.58324394
       8.1249302      0.58564180
       8.3530232      0.58790120
       8.5875195      0.59002736
       8.8285988      0.59202388
       9.0764461      0.59389253
       9.3312512      0.59563652
       9.5932095      0.59726373
       9.8625218      0.59877438
       10.139395      0.60017532
       10.424040      0.60146608
       10.716676      0.60265035
       11.017528      0.60373212
       11.326826      0.60471526
       11.644806      0.60560203
       11.971713      0.60639404
       12.307798      0.60709542
       12.653318      0.60770793
       13.008537      0.60823492
       13.373729      0.60867759
       13.749172      0.60903972
       14.135156      0.60932240
       14.531975      0.60952743
       14.939935      0.60965676
       15.359347      0.60971557
       15.790533      0.60970156
       16.233824      0.60961879
       16.689560      0.60946683
       17.158090      0.60925011
       17.639773      0.60896617
       18.134978      0.60862121
       18.644085      0.60821247
       19.167485      0.60774416
       19.705578      0.60721662
       20.258777      0.60662940
       20.827506      0.60598444
       21.412202      0.60528401
       22.013311      0.60452704
       22.631296      0.60371700
       23.266629      0.60285254
       23.919798      0.60193466
       24.591304      0.60096469
       25.281661      0.59994404
       25.991399      0.59887156
       26.721062      0.59774894
       27.471208      0.59657711
       28.242413      0.59535544
       29.035269      0.59408431
       29.850382      0.59276668
       30.688379      0.59139907
       31.549901      0.58998544
       32.435608      0.58852326
       33.346180      0.58701514
       34.282315      0.58545933
       35.244730      0.58385833
       36.234163      0.58221036
       37.251373      0.58051745
