#F CrossSec_Compton_IntegrXop.dat
#C  This file has been created using CrossSec_Compton.pro on Mon Feb  3 12:10:30 2003
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax
#D Mon Feb  3 12:10:30 2003
#UIDL xcrosssec
#UT Compton Cross Sections (Integrated from inelastic scattering functions)
#UD Compton Cross Sections (Integrated from inelastic scattering functions)
#UD
#UD
#UD
#UD Data in this file has been calculated by doing: 
#UD    i) using the Klein-Nishina formula of cross section versus theta
#UD        in a grid of 360 pts in [0,pi]rad (using code kn_angle.pro)
#UD        See for example the formula 16 in Davisson & Evans, 
#UD        Rev Mod Phys, 24 (1952) 79-109
#UD    ii) use the XOP inelastic scattering function (calculated using isf_calc_rib.pro)
#UD        versus x, where x=sin(theta)/lambda, lambda is the incident photon wavelength.
#UD    iii) Multiply i) times ii) times 2*pi*sin(theta) and integrate numerically
#UD       using int_tabulated.pro
#UD
#UD
#UD 
#UD The Compton cross sections is calculated in the energy range 
#UD 10 eV to 10 MeV in a 500 points logarithmic grid for the elements 
#UD Z = 1 - 90.
#UD
#UD
#UD Column description 
#UD 1: PhotonEnergy[kev]
#UD 2: Compton(incoherent)[barn/atom] 
#UD
#S   1 H 
#N 2
#L PhotonEnergy[keV]  Compton(incoherent)[barn/atom] 
     0.010000000       0.0000000
     0.010280732       0.0000000
     0.010569346       0.0000000
     0.010866061       0.0000000
     0.011171107       0.0000000
     0.011484715       0.0000000
     0.011807128       0.0000000
     0.012138593       0.0000000
     0.012479362       0.0000000
     0.012829698       0.0000000
     0.013189869       0.0000000
     0.013560151       0.0000000
     0.013940828       0.0000000
     0.014332192       0.0000000
     0.014734543       0.0000000
     0.015148189       0.0000000
     0.015573448       0.0000000
     0.016010645       0.0000000
     0.016460115       0.0000000
     0.016922204       0.0000000
     0.017397264       0.0000000
     0.017885662       0.0000000
     0.018387770       0.0000000
     0.018903974       0.0000000
     0.019434669       0.0000000
     0.019980263       0.0000000
     0.020541173       0.0000000
     0.021117830       0.0000000
     0.021710676       0.0000000
     0.022320165       0.0000000
     0.022946764       0.0000000
     0.023590953       0.0000000
     0.024253227       0.0000000
     0.024934094       0.0000000
     0.025634074       0.0000000
     0.026353705       0.0000000
     0.027093539       0.0000000
     0.027854142       0.0000000
     0.028636097       0.0000000
     0.029440005       0.0000000
     0.030266481       0.0000000
     0.031116158       0.0000000
     0.031989689       0.0000000
     0.032887743       0.0000000
     0.033811008       0.0000000
     0.034760192       0.0000000
     0.035736022       0.0000000
     0.036739248       0.0000000
     0.037770637       0.0000000
     0.038830980       0.0000000
     0.039921091       0.0000000
     0.041041805       0.0000000
     0.042193981       0.0000000
     0.043378502       0.0000000
     0.044596276       0.0000000
     0.045848238       0.0000000
     0.047135345       0.0000000
     0.048458586       0.0000000
     0.049818975       0.0000000
     0.051217554       0.0000000
     0.052655396  2.1704798e-295
     0.054133603  8.1981928e-278
     0.055653308  2.2722100e-261
     0.057215676  5.5507611e-246
     0.058821904  1.4154814e-231
     0.060473224  4.4051849e-218
     0.062170903  1.9331004e-205
     0.063916241  1.3670606e-193
     0.065710575  1.7630226e-182
     0.067555283  4.6493624e-172
     0.069451778  2.7879191e-162
     0.071401513  4.1942511e-153
     0.073405984  1.7344826e-144
     0.075466726  2.1460591e-136
     0.077585321  8.5954445e-129
     0.079763391  1.1990451e-121
     0.082002606  6.2359356e-115
     0.084304684  1.2881551e-108
     0.086671388  1.1210773e-102
     0.089104533   4.3425615e-97
     0.091605985   7.8797925e-92
     0.094177660   7.0250712e-87
     0.096821531   3.2171169e-82
     0.099539623   7.8882767e-78
      0.10233402   1.0765034e-73
      0.10520687   8.4775728e-70
      0.10816036   3.9849327e-66
      0.11119677   1.1539137e-62
      0.11431843   2.1200435e-59
      0.11752771   2.5405098e-56
      0.12082709   2.0375780e-53
      0.12421910   1.1205158e-50
