#F CrossSec_Compton_KleinNishina.dat
#C  This file has been created using CrossSec_Compton_KleinNishina.pro on Fri Jan 31 16:16:03 2003
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax
#D Fri Jan 31 16:16:03 2003
#UIDL xcrosssec
#UT Compton Cross Sections from Klein-Nishina formula 
#UD Compton Cross Sections from Klein-Nishina formula 
#UD
#UD
#UD
#UD Data in this file has been calculated using the Klein-Nishina
#UD formula. It is valid for describing the Compton scattering by
#UD free electrons.
#UD 
#UD See for example the formula 19 in: 
#UD      Davisson & Evans, Rev Mod Phys, 24 (1952) 79-109
#UD
#UD 
#UD The Compton cross sections is calculated in the energy range 
#UD 1 keV to 10 MeV in a 100 points logarithmic grid for the elements 
#UD Z = 1 - 90.
#UD
#UD Note that the curve for all elements is the same except the  
#UD proportionality factor Z
#UD
#UD
#UD Column description 
#UD 1: PhotonEnergy[kev]
#UD 2: Compton(incoherent)[barn/atom] 
#UD
#S   1 H 
#N 2
#L PhotonEnergy[keV]  Compton(incoherent)[barn/atom] 
     0.010000000      0.66141041
     0.010280732      0.66981666
     0.010569346      0.66235961
     0.010866061      0.66577890
     0.011171107      0.66821243
     0.011484715      0.66652796
     0.011807128      0.66131363
     0.012138593      0.66785372
     0.012479362      0.66243039
     0.012829698      0.66330941
     0.013189869      0.66337315
     0.013560151      0.66303029
     0.013940828      0.66730898
     0.014332192      0.66747669
     0.014734543      0.66659694
     0.015148189      0.66324677
     0.015573448      0.66481980
     0.016010645      0.66621205
     0.016460115      0.66543860
     0.016922204      0.66589133
     0.017397264      0.66653302
     0.017885662      0.66595235
     0.018387770      0.66585070
     0.018903974      0.66457180
     0.019434669      0.66564830
     0.019980263      0.66600035
     0.020541173      0.66490128
     0.021117830      0.66512923
     0.021710676      0.66572306
     0.022320165      0.66473727
     0.022946764      0.66557327
     0.023590953      0.66514529
     0.024253227      0.66511326
     0.024934094      0.66524476
     0.025634074      0.66512693
     0.026353705      0.66493688
     0.027093539      0.66515920
     0.027854142      0.66543783
     0.028636097      0.66541070
     0.029440005      0.66533960
     0.030266481      0.66550761
     0.031116158      0.66509323
     0.031989689      0.66511750
     0.032887743      0.66526949
     0.033811008      0.66520081
     0.034760192      0.66535068
     0.035736022      0.66519141
     0.036739248      0.66538736
     0.037770637      0.66519983
     0.038830980      0.66527480
     0.039921091      0.66523798
     0.041041805      0.66530780
     0.042193981      0.66534876
     0.043378502      0.66524527
     0.044596276      0.66529533
     0.045848238      0.66521109
     0.047135345      0.66519004
     0.048458586      0.66525777
     0.049818975      0.66526151
     0.051217554      0.66525425
     0.052655396      0.66519699
     0.054133603      0.66522423
     0.055653308      0.66526093
     0.057215676      0.66522079
     0.058821904      0.66519922
     0.060473224      0.66517914
     0.062170903      0.66519689
     0.063916241      0.66522506
     0.065710575      0.66517618
     0.067555283      0.66518958
     0.069451778      0.66519997
     0.071401513      0.66517627
     0.073405984      0.66517453
     0.075466726      0.66517923
     0.077585321      0.66517516
     0.079763391      0.66516424
     0.082002606      0.66515902
     0.084304684      0.66515976
     0.086671388      0.66513161
     0.089104533      0.66512607
     0.091605985      0.66512969
     0.094177660      0.66512597
     0.096821531      0.66511361
     0.099539623      0.66511049
      0.10233402      0.66510041
      0.10520687      0.66509278
      0.10816036      0.66508291
      0.11119677      0.66508072
      0.11431843      0.66507454
      0.11752771      0.66506625
      0.12082709      0.66505202
      0.12421910      0.66504186
      0.12770633      0.66503896
      0.13129146      0.66502558
      0.13497723      0.66501460
      0.13876648      0.66500844
      0.14266210      0.66499966
      0.14666709      0.66498675
      0.15078450      0.66497566
      0.15501751      0.66496491
      0.15936935      0.66495529
      0.16384336      0.66494115
      0.16844298      0.66493125
      0.17317171      0.66491726
      0.17803320      0.66490425
      0.18303117      0.66489182
      0.18816944      0.66487974
      0.19345197      0.66486546
      0.19888279      0.66485006
      0.20446607      0.66483564
      0.21020609      0.66482154
      0.21610725      0.66480613
      0.22217408      0.66479091
      0.22841122      0.66477355
      0.23482346      0.66475727
      0.24141571      0.66473994
      0.24819303      0.66472275
      0.25516061      0.66470464
      0.26232379      0.66468622
      0.26968806      0.66466694
      0.27725908      0.66464750
      0.28504263      0.66462720
      0.29304470      0.66460597
      0.30127141      0.66458467
      0.30972907      0.66456279
      0.31842416      0.66454056
      0.32736335      0.66451694
      0.33655350      0.66449316
      0.34600164      0.66446868
      0.35571502      0.66444365
      0.36570109      0.66441763
      0.37596750      0.66439090
      0.38652212      0.66436358
      0.39737304      0.66433546
      0.40852858      0.66430646
      0.41999729      0.66427673
      0.43178797      0.66424618
      0.44390965      0.66421477
      0.45637163      0.66418245
      0.46918345      0.66414917
      0.48235494      0.66411496
      0.49589620      0.66407988
      0.50981761      0.66404379
      0.52412983      0.66400678
      0.53884384      0.66396861
      0.55397093      0.66392943
      0.56952268      0.66388917
      0.58551102      0.66384779
      0.60194820      0.66380519
      0.61884682      0.66376147
      0.63621985      0.66371646
      0.65408059      0.66367027
      0.67244274      0.66362273
      0.69132038      0.66357390
      0.71072797      0.66352372
      0.73068040      0.66347213
      0.75119295      0.66341907
      0.77228136      0.66336457
      0.79396178      0.66330855
      0.81625085      0.66325096
      0.83916564      0.66319177
      0.86272373      0.66313092
      0.88694317      0.66306839
      0.91184252      0.66300410
      0.93744088      0.66293805
      0.96375787      0.66287016
      0.99081366      0.66280037
       1.0186290      0.66272865
