#F FluorYield_Krause.dat
#UT Atomic Radiative Yields for K and L Shells (M.O. Krause)
#C  This file has been created using the mucal.f subroutine
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax/
#UD Atomic Radiative Yields for K and L Shells (M.O. Krause)
#UD 
#UD This data set contains data calculated by using mucal (A subroutine to 
#UD calculate x-ray crossections) by Pathikrit Badyopadhyay.
#UD 
#UD data is available for all the elements from 1 to 94.
#UD 
#UD REFERENCE
#UD 
#UD  M.O. Krause "Atomic Radiative and Raduiattionless Yields for K and
#UD  L Shells", J. Phys. Chem. Ref. Data, Vol. 8, No 2, 1979, pag 307-327
#UD 
#UD The mucal program can be found at: 
#UD    http://ixs.csrri.iit.edu/database/programs/mcmaster/
#UD and a Periodic Table WWW interface is at:
#UD    http://www.csrri.iit.edu/periodic-table.html
#UD 
#UD Column description:
#UD      1: K
#UD      2: L1
#UD      3: L2
#UD      4: L3
#UD 
#UD The scan #S 1000 contains the information for all the elements, where the first 
#UD column is the Atomic Number Z. This is useful to make plots of the values of a 
#UD  given variable as a function of Z.
#UD 
#S   1 H 
#N 4
#L K  L1  L2  L3
  0.  0.  0.  0.
#S   2 He
#N 4
#L K  L1  L2  L3
  0.  0.  0.  0.
#S   3 Li
#N 4
#L K  L1  L2  L3
  0.  0.  0.  0.
#S   4 Be
#N 4
#L K  L1  L2  L3
  0.  0.  0.  0.
#S   5 B 
#N 4
#L K  L1  L2  L3
  0.00170000002  0.  0.  0.
#S   6 C 
#N 4
#L K  L1  L2  L3
  0.0027999999  0.  0.  0.
#S   7 N 
#N 4
#L K  L1  L2  L3
  0.00520000001  0.  0.  0.
#S   8 O 
#N 4
#L K  L1  L2  L3
  0.00829999987  0.  0.  0.
#S   9 F 
#N 4
#L K  L1  L2  L3
  0.0130000003  0.  0.  0.
#S  10 Ne
#N 4
#L K  L1  L2  L3
  0.0179999992  0.  0.  0.
#S  11 Na
#N 4
#L K  L1  L2  L3
  0.023  0.  0.  0.
#S  12 Mg
#N 4
#L K  L1  L2  L3
  0.0299999993  2.90000007E-05  0.00120000006  0.00120000006
#S  13 Al
#N 4
#L K  L1  L2  L3
  0.0390000008  2.59999997E-05  0.000750000007  0.000750000007
#S  14 Si
#N 4
#L K  L1  L2  L3
  0.0500000007  2.99999992E-05  0.000369999994  0.000380000012
#S  15 P 
#N 4
#L K  L1  L2  L3
  0.063000001  3.89999987E-05  0.000310000003  0.000310000003
#S  16 S 
#N 4
#L K  L1  L2  L3
  0.0780000016  7.40000032E-05  0.000260000001  0.000260000001
#S  17 Cl
#N 4
