#F RadiativeRates_K_Scofield.dat
#UT X-ray emission rates for K shell
#C  This file has been created using RadiativeRates_K_Scofield.pro
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax/
#UD X-ray emission rates for K shell
#UD 
#UD The data contained is in table 1 of:
#UD  Exchange corrections of K x-ray emission rates
#UD  J. H. Scofield
#UD  Phys. Rev. A 9 (1974) 1041-1049
#UD 
#UD Labels are in iupac notation. 
#UD     The other notations areunfder the keywords #UIUPAC,
#UD     #USIEGBAHN and #USHELL.
#UD 
#UD Missing elements are: 1-9,11,1221,27,31,39,41,43-46,48,49,52-54,55,57-59,
#UD 61,62,66,67,69,71,75-77,83,84,86-89,91,93-95,97,>=99
#UD 
#UD Column description: 
#UD 
#UD Column  iupac   siegbahn  shell
#UD      1:  KL2   Ka2       2P1/2
#UD      2:  KL3   Ka1       2P3/2
#UD      3:  KM2   Kb3       3P1/2
#UD      4:  KM3   Kb1       3P3/2
#UD      5:  KN2   K2b2      4P1/2
#UD      6:  KN3   K1b2      4P3/2
#UD      7:  KO23  X1         5P
#UD      8:  KO23  X2         6P
#UD 
#UD The scan #S 1000 contains the data for all the elements, 
#UD where the first column is the Atomic Number Z. 
#UD This is useful to make plots of the values of a given variable as a 
#UD function of Z.
#UD 
#S  10 Ne
#N  2
#UIUPAC KL2  KL3  
#USIEGBAHN Ka2  Ka1  
#USHELL 2P1/2  2P3/2  
#L  KL2  KL3  
0.00141  0.00281  
#S  13 Al
#N  4
#UIUPAC KL2  KL3  KM2  KM3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  
#L  KL2  KL3  KM2  KM3  
0.0053  0.0106  0.00007  0.00014  
#S  14 Si
#N  4
#UIUPAC KL2  KL3  KM2  KM3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  
#L  KL2  KL3  KM2  KM3  
0.0076  0.0151  0.00021  0.00042  
#S  15 P 
#N  4
#UIUPAC KL2  KL3  KM2  KM3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  
#L  KL2  KL3  KM2  KM3  
0.0106  0.0209  0.00047  0.00093  
#S  16 S 
#N  4
#UIUPAC KL2  KL3  KM2  KM3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  
#L  KL2  KL3  KM2  KM3  
0.0143  0.0283  0.00088  0.00175  
#S  17 Cl
#N  4
#UIUPAC KL2  KL3  KM2  KM3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  
#L  KL2  KL3  KM2  KM3  
0.0188  0.0372  0.00152  0.0030  
#S  18 Ar
#N  4
#UIUPAC KL2  KL3  KM2  KM3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  
#L  KL2  KL3  KM2  KM3  
0.0238  0.0472  0.00244  0.0048  
#S  19 K 
#N  4
#UIUPAC KL2  KL3  KM2  KM3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  
#L  KL2  KL3  KM2  KM3  
0.0305  0.0603  0.0035  0.0070  
#S  20 Ca
#N  4
#UIUPAC KL2  KL3  KM2  KM3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  
#L  KL2  KL3  KM2  KM3  
0.0385  0.0761  0.0048  0.0096  
#S  22 Ti
#N  4
#UIUPAC KL2  KL3  KM2  KM3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  
#L  KL2  KL3  KM2  KM3  
0.0593  0.1168  0.0077  0.0152  
#S  23 V 
#N  4
#UIUPAC KL2  KL3  KM2  KM3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  
#L  KL2  KL3  KM2  KM3  
0.0724  0.1424  0.0095  0.0188  
#S  24 Cr
#N  4
#UIUPAC KL2  KL3  KM2  KM3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  
#L  KL2  KL3  KM2  KM3  
0.0876  0.1720  0.0112  0.0222  
#S  25 Mn
#N  4
#UIUPAC KL2  KL3  KM2  KM3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  
#L  KL2  KL3  KM2  KM3  
0.1049  0.2058  0.0140  0.0276  
#S  26 Fe
#N  4
#UIUPAC KL2  KL3  KM2  KM3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  
#L  KL2  KL3  KM2  KM3  
0.1248  0.2444  0.0167  0.0329  
#S  28 Ni
#N  4
#UIUPAC KL2  KL3  KM2  KM3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  
#L  KL2  KL3  KM2  KM3  
0.1730  0.338  0.0234  0.0459  
#S  29 Cu
#N  4
#UIUPAC KL2  KL3  KM2  KM3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  
#L  KL2  KL3  KM2  KM3  
0.2017  0.393  0.0269  0.0527  
#S  30 Zn
#N  4
#UIUPAC KL2  KL3  KM2  KM3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  
#L  KL2  KL3  KM2  KM3  
0.2338  0.455  0.0319  0.0624  
#S  32 Ge
#N  6
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  
#L  KL2  KL3  KM2  KM3  KN2  KN3  
0.309  0.600  0.0440  0.0862  0.00097  0.00187  
#S  33 As
#N  6
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  
#L  KL2  KL3  KM2  KM3  KN2  KN3  
0.353  0.685  0.0514  0.1005  0.00193  0.0037  
#S  34 Se
#N  6
