#F f0_EPDL97.dat
#D Mon Sep 30 15:12:40 2002
#UT Elastic Photon-Atom Scattering, nonrelativistic form factors
#UF0TYPE TABLE ; TABLE TABLE_NOR OR PARAMETRIZATION? 
#UIDL xf0
#C  This file has been created using f0_EPDL97.pro on Mon Sep 30 15:12:40 2002
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax/
#UD Elastic Photon-Atom Scattering, nonrelativistic form factors
#UD 
#UD
#UD 
#UD The form factors stored in this file come from the 
#UD Evaluated Photon Data Library (EPDL) from the Lawrence Livermore 
#UD National Laboratory: 
#UD    "EPDL97 The Evaluated Data Library, 97 Version"
#UD     Dermott E Cullen, John H Hubbel, Lynn Kissel
#UD        UCRL-50400, Vol 6, Rev 5 (Sep 19 1997)
#UD 
#UD Availability:
#UD In USA: contact the Radiation Safety Information Computational 
#UD         Center (RSICC):
#UD         http://www-rsicc.ornl.gov/rsic.html
#UD In Europe Korea and Japan: contact the Nuclear Energy Agence:
#UD         http://www.nea.fr
#UD         
#UD The argument for the form factor and scattering function is 
#UD x = sin(theta/2)/lambda, where theta is the photon scattering angle, and 
#UD lambda is its wavelength (cm). 
#UD The EPDL97 data base contains data from 0.0 to 1.0e+17 cm^-1. 
#UD The number of data points ranges from about 100 to 174. 
#UD 
#UD Quoted from the above reference of Cullen et al:
#UD The form factors are those of Hubbell [22,23,24]. Hubbell has 
#UD calculated nonrelativistic, relativistic and modified relativistic 
#UD form factors. Based on Hubbell's recommendation the data included in 
#UD EPDL97 are his nonrelativistic form factors, which are currently the 
#UD most widely used of Hubbell's form factors. 
#UD [22] Hubbell et al, J. Phys. Chem. Ref. Data, 4 471 (1975)
#UD [23] Hubbell et al, J. Phys. Chem. Ref. Data, 7 615 (1977)
#UD      Hubbell & Overbo, J. Phys. Chem. Ref. Data, 8 69 (1979)
#UD [24] Hubbell, Radiat. Phys. Chem. 50 113 (1997)
#UD 
#UD 
#UD Note: The data in this file are from reference [22]: 
#UD   J H Hubbell, W J Veigele, E A Briggs, R T Brown, D T Cromer, R J Howerton
#UD   Atomic form factors, incoherent scattering functions and photon scattering cross sections
#UD   J. Phys. Chem. Ref. Data, 4 471-538 (1975)
#UD 
#UD The atomic form factor and also incoherent scattering factor from  [22] are also 
#UD available in ftp://www-phys.llnl.gov/pub/rayleigh/RTAB/data_NF 
#UD  (RTAB Database: L. Kissel, Radiation physics and chemistry 59 (2000) 185-200)
#UD 
#UD 
#UD  The following two arrays are stored: 
#UD     Column 1: X(1/A) = sin(theta/2)/lambda
#UD     Column 2: f0 = form factor (electron units)
#UD
#UD
#S  1 H 
#N 2
#L X(1/A)  f0
     0.000000      1.000000 
 1.000000E-07      1.000000 
 1.000000E-06      1.000000 
 1.000000E-05      1.000000 
 1.000000E-04      1.000000 
  0.001000000      1.000000 
  0.005000000     0.9994500 
  0.010000000     0.9977900 
   0.01500000     0.9950400 
   0.02000000     0.9912100 
   0.02500000     0.9863200 
   0.03000000     0.9803900 
   0.03750000     0.9695910 
   0.04000000     0.9655400 
   0.04750000     0.9518880 
   0.05000000     0.9469400 
   0.05875000     0.9278400 
   0.06625000     0.9096010 
   0.07000000     0.8998700 
   0.07875000     0.8757760 
   0.08000000     0.8721610 
   0.08625000     0.8537270 
   0.09000000     0.8423900 
   0.09750000     0.8187930 
    0.1000000     0.8108200 
    0.1062500     0.7903800 
    0.1156300     0.7590290 
    0.1250000     0.7271200 
    0.1359400     0.6894680 
    0.1453100     0.6572700 
    0.1500000     0.6413000 
    0.1609400     0.6043200 
    0.1703100     0.5733520 
    0.1750000     0.5581200 
    0.1875000     0.5185450 
    0.2000000     0.4807900 
    0.2125000     0.4449150 
    0.2218800     0.4193120 
    0.2289100     0.4009390 
    0.2359400     0.3832090 
    0.2429700     0.3661360 
    0.2500000     0.3497500 
    0.2625000     0.3221710 
    0.2718800     0.3028140 
    0.2789100     0.2890650 
    0.2906300     0.2674080 
    0.2929700     0.2632700 
    0.3000000     0.2512700 
    0.3179700     0.2229550 
    0.3250000     0.2128040 
    0.3330100     0.2017980 
    0.3497600     0.1806930 
    0.3625000     0.1662140 
    0.3677000     0.1606750 
    0.3892300     0.1397670 
    0.4000000     0.1304500 
    0.4250000     0.1113530 
    0.4437500    0.09908660 
    0.4500000    0.09533620 
    0.4718800    0.08345640 
    0.5000000    0.07059600 
    0.5250000    0.06105480 
    0.5625000    0.04943010 
    0.6000000    0.04032700 
    0.6500000    0.03109610 
    0.7000000    0.02428600 
    0.7500000    0.01919230 
    0.8000000    0.01533600 
    0.8750000    0.01116450 
    0.9000000    0.01009200 
     1.000000   0.006881600 
     1.125000   0.004449490 
     1.250000   0.002994900 
     1.437500   0.001759020 
     1.500000   0.001493900 
     1.750000  0.0008230890 
     2.000000  0.0004890600 
     2.500000  0.0002035500 
     3.000000  9.902300E-05 
     3.500000  5.373400E-05 
     4.000000  3.160600E-05 
     5.000000  1.299800E-05 
     6.000000  6.282400E-06 
     7.000000  3.395600E-06 
     8.000000  1.992200E-06 
     10.00000  8.168200E-07 
     15.00000  1.615100E-07 
     20.00000  5.112000E-08 
     50.00000  1.309200E-09 
     80.00000  1.997700E-10 
     100.0000  8.182800E-11 
     1000.000  8.182900E-15 
     1000000.  8.182900E-27 
 1.000000E+09  8.182901E-39 
#S  2 He
#N 2
#L X(1/A)  f0
